# s  E(k)=eps-mu  kx  ky
0 -2.724051816875739 0 0
0.01208304866765305 -2.723964217902472 0.01208304866765305 0
0.0241660973353061 -2.72370143377197 0.0241660973353061 0
0.03624914600295916 -2.723263502850268 0.03624914600295916 0
0.04833219467061221 -2.72265048907453 0.04833219467061221 0
0.06041524333826526 -2.721862481943719 0.06041524333826526 0
0.07249829200591831 -2.720899596505528 0.07249829200591831 0
0.08458134067357136 -2.719761973339582 0.08458134067357136 0
0.09666438934122441 -2.718449778536917 0.09666438934122441 0
0.1087474380088775 -2.716963203675729 0.1087474380088775 0
0.1208304866765305 -2.715302465793403 0.1208304866765305 0
0.1329135353441836 -2.71346780735483 0.1329135353441836 0
0.1449965840118366 -2.711459496217 0.1449965840118366 0
0.1570796326794897 -2.709277825589904 0.1570796326794897 0
0.1691626813471427 -2.70692311399372 0.1691626813471427 0
0.1812457300147958 -2.704395705212311 0.1812457300147958 0
0.1933287786824488 -2.701695968243035 0.1933287786824488 0
0.2054118273501019 -2.698824297242869 0.2054118273501019 0
0.2174948760177549 -2.695781111470865 0.2174948760177549 0
0.229577924685408 -2.692566855226939 0.229577924685408 0
0.241660973353061 -2.689181997787001 0.241660973353061 0
0.2537440220207141 -2.685627033334446 0.2537440220207141 0
0.2658270706883671 -2.681902480888001 0.2658270706883671 0
0.2779101193560202 -2.678008884225948 0.2779101193560202 0
0.2899931680236733 -2.673946811806738 0.2899931680236733 0
0.3020762166913263 -2.669716856685993 0.3020762166913263 0
0.3141592653589793 -2.665319636429923 0.3141592653589793 0
0.3262423140266324 -2.660755793025159 0.3262423140266324 0
0.3383253626942854 -2.65602599278503 0.3383253626942854 0
0.3504084113619385 -2.651130926252277 0.3504084113619385 0
0.3624914600295915 -2.646071308098237 0.3624914600295915 0
0.3745745086972446 -2.640847877018501 0.3745745086972446 0
0.3866575573648977 -2.63546139562507 0.3866575573648977 0
0.3987406060325506 -2.62991265033501 0.3987406060325506 0
0.4108236547002037 -2.624202451255638 0.4108236547002037 0
0.4229067033678567 -2.618331632066247 0.4229067033678567 0
0.4349897520355098 -2.612301049896393 0.4349897520355098 0
0.4470728007031629 -2.606111585200754 0.4470728007031629 0
0.4591558493708159 -2.599764141630583 0.4591558493708159 0
0.471238898038469 -2.59325964590178 0.471238898038469 0
0.4833219467061221 -2.58659904765959 0.4833219467061221 0
0.495404995373775 -2.57978331933996 0.495404995373775 0
0.5074880440414281 -2.57281345602756 0.5074880440414281 0
0.5195710927090812 -2.565690475310507 0.5195710927090812 0
0.5316541413767343 -2.558415417131798 0.5316541413767343 0
0.5437371900443873 -2.550989343637476 0.5437371900443873 0
0.5558202387120403 -2.543413339021564 0.5558202387120403 0
0.5679032873796933 -2.535688509367772 0.5679032873796933 0
0.5799863360473465 -2.52781598248801 0.5799863360473465 0
0.5920693847149995 -2.519796907757732 0.5920693847149995 0
0.6041524333826526 -2.511632455948126 0.6041524333826526 0
0.6162354820503055 -2.503323819055184 0.6162354820503055 0
0.6283185307179586 -2.494872210125676 0.6283185307179586 0
0.6404015793856117 -2.486278863080041 0.6404015793856117 0
0.6524846280532648 -2.477545032532244 0.6524846280532648 0
0.6645676767209178 -2.468671993606598 0.6645676767209178 0
0.6766507253885709 -2.459661041751605 0.6766507253885709 0
0.6887337740562238 -2.450513492550815 0.6887337740562238 0
