# mx my kx ky |F_fft| Re(F_fft) Im(F_fft) F_exact
-63 -33 -3.09251 -1.61988 1.08775e-06 1.08775e-06 0 4.92633e-08
-63 -32 -3.09251 -1.5708 9.69628e-07 -9.69628e-07 0 5.65657e-08
-63 -31 -3.09251 -1.52171 1.21617e-06 1.21617e-06 0 6.47319e-08
-63 -30 -3.09251 -1.47262 1.05765e-06 -1.05765e-06 0 7.38226e-08
-63 -29 -3.09251 -1.42353 1.37358e-06 1.37358e-06 0 8.38956e-08
-63 -28 -3.09251 -1.37445 1.16612e-06 -1.16612e-06 0 9.50031e-08
-63 -27 -3.09251 -1.32536 1.56766e-06 1.56766e-06 0 1.07191e-07
-63 -26 -3.09251 -1.27627 1.30279e-06 -1.30279e-06 0 1.20495e-07
-63 -25 -3.09251 -1.22718 1.80887e-06 1.80887e-06 0 1.3494e-07
-63 -24 -3.09251 -1.1781 1.47931e-06 -1.47931e-06 0 1.5054e-07
-63 -23 -3.09251 -1.12901 2.11187e-06 2.11187e-06 0 1.6729e-07
-63 -22 -3.09251 -1.07992 1.7133e-06 -1.7133e-06 0 1.85169e-07
-63 -21 -3.09251 -1.03084 2.49818e-06 2.49818e-06 0 2.04136e-07
-63 -20 -3.09251 -0.981748 2.03208e-06 -2.03208e-06 0 2.2413e-07
-63 -19 -3.09251 -0.93266 3.00083e-06 3.00083e-06 0 2.45065e-07
-63 -18 -3.09251 -0.883573 2.47921e-06 -2.47921e-06 0 2.66833e-07
-63 -17 -3.09251 -0.834486 3.67318e-06 3.67318e-06 0 2.89301e-07
-63 -16 -3.09251 -0.785398 3.12699e-06 -3.12699e-06 0 3.12314e-07
-63 -15 -3.09251 -0.736311 4.60663e-06 4.60663e-06 0 3.3569e-07
-63 -14 -3.09251 -0.687223 4.10214e-06 -4.10214e-06 0 3.59229e-07
-63 -13 -3.09251 -0.638136 5.96868e-06 5.96868e-06 0 3.82709e-07
-63 -12 -3.09251 -0.589049 5.64352e-06 -5.64352e-06 0 4.05893e-07
-63 -11 -3.09251 -0.539961 8.09321e-06 8.09321e-06 0 4.2853e-07
-63 -10 -3.09251 -0.490874 8.24738e-06 -8.24738e-06 0 4.50361e-07
-63 -9 -3.09251 -0.441786 1.17238e-05 1.17238e-05 0 4.71123e-07
-63 -8 -3.09251 -0.392699 1.30922e-05 -1.30922e-05 0 4.90555e-07
-63 -7 -3.09251 -0.343612 1.87977e-05 1.87977e-05 0 5.08402e-07
-63 -6 -3.09251 -0.294524 2.35781e-05 -2.35781e-05 0 5.24423e-07
-63 -5 -3.09251 -0.245437 3.57671e-05 3.57671e-05 0 5.38394e-07
-63 -4 -3.09251 -0.19635 5.25426e-05 -5.25426e-05 0 5.50117e-07
-63 -3 -3.09251 -0.147262 0.000106011 0.000106011 0 5.59421e-07
-63 -2 -3.09251 -0.0981748 1.81132e-05 -1.81132e-05 0 5.66168e-07
-63 -1 -3.09251 -0.0490874 0.00301907 0.00301907 0 5.70257e-07
-63 0 -3.09251 0 0.0111369 0.0111369 0 5.71627e-07
-63 1 -3.09251 0.0490874 0.00301907 0.00301907 0 5.70257e-07
-63 2 -3.09251 0.0981748 1.81132e-05 -1.81132e-05 0 5.66168e-07
-63 3 -3.09251 0.147262 0.000106011 0.000106011 0 5.59421e-07
-63 4 -3.09251 0.19635 5.25426e-05 -5.25426e-05 0 5.50117e-07
-63 5 -3.09251 0.245437 3.57671e-05 3.57671e-05 0 5.38394e-07
-63 6 -3.09251 0.294524 2.35781e-05 -2.35781e-05 0 5.24423e-07
-63 7 -3.09251 0.343612 1.87977e-05 1.87977e-05 0 5.08402e-07
-63 8 -3.09251 0.392699 1.30922e-05 -1.30922e-05 0 4.90555e-07
-63 9 -3.09251 0.441786 1.17238e-05 1.17238e-05 0 4.71123e-07
-63 10 -3.09251 0.490874 8.24738e-06 -8.24738e-06 0 4.50361e-07
-63 11 -3.09251 0.539961 8.09321e-06 8.09321e-06 0 4.2853e-07
-63 12 -3.09251 0.589049 5.64352e-06 -5.64352e-06 0 4.05893e-07
-63 13 -3.09251 0.638136 5.96868e-06 5.96868e-06 0 3.82709e-07
-63 14 -3.09251 0.687223 4.10214e-06 -4.10214e-06 0 3.59229e-07
-63 15 -3.09251 0.736311 4.60663e-06 4.60663e-06 0 3.3569e-07
-63 16 -3.09251 0.785398 3.12699e-06 -3.12699e-06 0 3.12314e-07
-63 17 -3.09251 0.834486 3.67318e-06 3.67318e-06 0 2.89301e-07
-63 18 -3.09251 0.883573 2.47921e-06 -2.47921e-06 0 2.66833e-07
-63 19 -3.09251 0.93266 3.00083e-06 3.00083e-06 0 2.45065e-07
-63 20 -3.09251 0.981748 2.03208e-06 -2.03208e-06 0 2.2413e-07
-63 21 -3.09251 1.03084 2.49818e-06 2.49818e-06 0 2.04136e-07
-63 22 -3.09251 1.07992 1.7133e-06 -1.7133e-06 0 1.85169e-07
-63 23 -3.09251 1.12901 2.11187e-06 2.11187e-06 0 1.6729e-07
-63 24 -3.09251 1.1781 1.47931e-06 -1.47931e-06 0 1.5054e-07
-63 25 -3.09251 1.22718 1.80887e-06 1.80887e-06 0 1.3494e-07
-63 26 -3.09251 1.27627 1.30279e-06 -1.30279e-06 0 1.20495e-07
-63 27 -3.09251 1.32536 1.56766e-06 1.56766e-06 0 1.07191e-07
-63 28 -3.09251 1.37445 1.16612e-06 -1.16612e-06 0 9.50031e-08
-63 29 -3.09251 1.42353 1.37358e-06 1.37358e-06 0 8.38956e-08
-63 30 -3.09251 1.47262 1.05765e-06 -1.05765e-06 0 7.38226e-08
-63 31 -3.09251 1.52171 1.21617e-06 1.21617e-06 0 6.47319e-08
-63 32 -3.09251 1.5708 9.69628e-07 -9.69628e-07 0 5.65657e-08
-63 33 -3.09251 1.61988 1.08775e-06 1.08775e-06 0 4.92633e-08
-63 34 -3.09251 1.66897 8.96788e-07 -8.96788e-07 0 4.27621e-08
-63 35 -3.09251 1.71806 9.82503e-07 9.82503e-07 0 3.69988e-08
-63 36 -3.09251 1.76715 8.35546e-07 -8.35546e-07 0 3.19108e-08
-63 37 -3.09251 1.81623 8.95917e-07 8.95917e-07 0 2.74371e-08
-63 38 -3.09251 1.86532 7.83427e-07 -7.83427e-07 0 2.35189e-08
-63 39 -3.09251 1.91441 8.24466e-07 8.24466e-07 0 2.01003e-08
-63 40 -3.09251 1.9635 7.38702e-07 -7.38702e-07 0 1.71286e-08
-63 41 -3.09251 2.01258 7.65359e-07 7.65359e-07 0 1.45547e-08
-63 42 -3.09251 2.06167 7.00141e-07 -7.00141e-07 0 1.23332e-08
-63 43 -3.09251 2.11076 7.1638e-07 7.1638e-07 0 1.04223e-08
-63 44 -3.09251 2.15984 6.66848e-07 -6.66848e-07 0 8.78398e-09
-63 45 -3.09251 2.20893 6.75765e-07 6.75765e-07 0 7.38395e-09
-63 46 -3.09251 2.25802 6.38155e-07 -6.38155e-07 0 6.19129e-09
-63 47 -3.09251 2.30711 6.42116e-07 6.42116e-07 0 5.17836e-09
-63 48 -3.09251 2.35619 6.13548e-07 -6.13548e-07 0 4.32064e-09
-63 49 -3.09251 2.40528 6.14325e-07 6.14325e-07 0 3.59644e-09
-63 50 -3.09251 2.45437 5.92627e-07 -5.92627e-07 0 2.9867e-09
-63 51 -3.09251 2.50346 5.9152e-07 5.9152e-07 0 2.47472e-09
-63 52 -3.09251 2.55254 5.75069e-07 -5.75069e-07 0 2.04597e-09
-63 53 -3.09251 2.60163 5.73021e-07 5.73021e-07 0 1.68786e-09
-63 54 -3.09251 2.65072 5.60615e-07 -5.60615e-07 0 1.3895e-09
-63 55 -3.09251 2.69981 5.58298e-07 5.58298e-07 0 1.14152e-09
-63 56 -3.09251 2.74889 5.49058e-07 -5.49058e-07 0 9.35923e-10
-63 57 -3.09251 2.79798 5.46951e-07 5.46951e-07 0 7.6585e-10
-63 58 -3.09251 2.84707 5.40233e-07 -5.40233e-07 0 6.25485e-10
-63 59 -3.09251 2.89616 5.38681e-07 5.38681e-07 0 5.09892e-10
-63 60 -3.09251 2.94524 5.34017e-07 -5.34017e-07 0 4.14905e-10
-63 61 -3.09251 2.99433 5.33279e-07 5.33279e-07 0 3.37013e-10
-63 62 -3.09251 3.04342 5.30322e-07 -5.30322e-07 0 2.73269e-10
-63 63 -3.09251 3.09251 5.30611e-07 5.30611e-07 0 2.21207e-10

-62 -64 -3.04342 -3.14159 5.31275e-07 5.31275e-07 0 2.20463e-10
-62 -63 -3.04342 -3.09251 5.30322e-07 -5.30322e-07 0 2.73269e-10
-62 -62 -3.04342 -3.04342 5.32612e-07 5.32612e-07 0 3.38168e-10
-62 -61 -3.04342 -2.99433 5.32774e-07 -5.32774e-07 0 4.17779e-10
-62 -60 -3.04342 -2.94524 5.36654e-07 5.36654e-07 0 5.15243e-10
-62 -59 -3.04342 -2.89616 5.37713e-07 -5.37713e-07 0 6.34323e-10
-62 -58 -3.04342 -2.84707 5.43504e-07 5.43504e-07 0 7.79513e-10
-62 -57 -3.04342 -2.79798 5.45205e-07 -5.45205e-07 0 9.5616e-10
-62 -56 -3.04342 -2.74889 5.53336e-07 5.53336e-07 0 1.17061e-09
-62 -55 -3.04342 -2.69981 5.5535e-07 -5.5535e-07 0 1.43036e-09
-62 -54 -3.04342 -2.65072 5.66409e-07 5.66409e-07 0 1.74427e-09
-62 -53 -3.04342 -2.60163 5.68285e-07 -5.68285e-07 0 2.12272e-09
-62 -52 -3.04342 -2.55254 5.83079e-07 5.83079e-07 0 2.57786e-09
-62 -51 -3.04342 -2.50346 5.84184e-07 -5.84184e-07 0 3.12386e-09
-62 -50 -3.04342 -2.45437 6.03823e-07 6.03823e-07 0 3.77719e-09
-62 -49 -3.04342 -2.40528 6.03266e-07 -6.03266e-07 0 4.55684e-09
-62 -48 -3.04342 -2.35619 6.2926e-07 6.2926e-07 0 5.48473e-09
-62 -47 -3.04342 -2.30711 6.25798e-07 -6.25798e-07 0 6.58594e-09
-62 -46 -3.04342 -2.25802 6.60187e-07 6.60187e-07 0 7.88908e-09
-62 -45 -3.04342 -2.20893 6.52111e-07 -6.52111e-07 0 9.42662e-09
-62 -44 -3.04342 -2.15984 6.97623e-07 6.97623e-07 0 1.12352e-08
-62 -43 -3.04342 -2.11076 6.8262e-07 -6.8262e-07 0 1.33559e-08
-62 -42 -3.04342 -2.06167 7.42859e-07 7.42859e-07 0 1.58346e-08
-62 -41 -3.04342 -2.01258 7.17862e-07 -7.17862e-07 0 1.87222e-08
-62 -40 -3.04342 -1.9635 7.97524e-07 7.97524e-07 0 2.20747e-08
-62 -39 -3.04342 -1.91441 7.58546e-07 -7.58546e-07 0 2.59532e-08
-62 -38 -3.04342 -1.86532 8.63668e-07 8.63668e-07 0 3.04242e-08
-62 -37 -3.04342 -1.81623 8.05644e-07 -8.05644e-07 0 3.5559e-08
-62 -36 -3.04342 -1.76715 9.43866e-07 9.43866e-07 0 4.14338e-08
-62 -35 -3.04342 -1.71806 8.60521e-07 -8.60521e-07 0 4.81287e-08
-62 -34 -3.04342 -1.66897 1.04136e-06 1.04136e-06 0 5.57275e-08
-62 -33 -3.04342 -1.61988 9.25141e-07 -9.25141e-07 0 6.43162e-08
-62 -32 -3.04342 -1.5708 1.16025e-06 1.16025e-06 0 7.39824e-08
-62 -31 -3.04342 -1.52171 1.00237e-06 -1.00237e-06 0 8.4813e-08
-62 -30 -3.04342 -1.47262 1.30577e-06 1.30577e-06 0 9.68933e-08
-62 -29 -3.04342 -1.42353 1.09642e-06 -1.09642e-06 0 1.10304e-07
-62 -28 -3.04342 -1.37445 1.48472e-06 1.48472e-06 0 1.2512e-07
-62 -27 -3.04342 -1.32536 1.21359e-06 -1.21359e-06 0 1.41407e-07
-62 -26 -3.04342 -1.27627 1.70616e-06 1.70616e-06 0 1.59218e-07
-62 -25 -3.04342 -1.22718 1.36327e-06 -1.36327e-06 0 1.78592e-07
-62 -24 -3.04342 -1.1781 1.98251e-06 1.98251e-06 0 1.9955e-07
-62 -23 -3.04342 -1.12901 1.55972e-06 -1.55972e-06 0 2.22091e-07
-62 -22 -3.04342 -1.07992 2.33152e-06 2.33152e-06 0 2.46192e-07
-62 -21 -3.04342 -1.03084 1.82486e-06 -1.82486e-06 0 2.71801e-07
-62 -20 -3.04342 -0.981748 2.7797e-06 2.7797e-06 0 2.98839e-07
-62 -19 -3.04342 -0.93266 2.19314e-06 -2.19314e-06 0 3.27191e-07
-62 -18 -3.04342 -0.883573 3.36872e-06 3.36872e-06 0 3.56715e-07
-62 -17 -3.04342 -0.834486 2.72061e-06 -2.72061e-06 0 3.87232e-07
-62 -16 -3.04342 -0.785398 4.16783e-06 4.16783e-06 0 4.18529e-07
-62 -15 -3.04342 -0.736311 3.50263e-06 -3.50263e-06 0 4.50361e-07
-62 -14 -3.04342 -0.687223 5.29955e-06 5.29955e-06 0 4.82453e-07
-62 -13 -3.04342 -0.638136 4.71204e-06 -4.71204e-06 0 5.14502e-07
-62 -12 -3.04342 -0.589049 6.99762e-06 6.99762e-06 0 5.4618e-07
-62 -11 -3.04342 -0.539961 6.68935e-06 -6.68935e-06 0 5.77142e-07
-62 -10 -3.04342 -0.490874 9.75276e-06 9.75276e-06 0 6.07028e-07
-62 -9 -3.04342 -0.441786 1.01862e-05 -1.01862e-05 0 6.35476e-07
-62 -8 -3.04342 -0.392699 1.47388e-05 1.47388e-05 0 6.62121e-07
-62 -7 -3.04342 -0.343612 1.71501e-05 -1.71501e-05 0 6.8661e-07
-62 -6 -3.04342 -0.294524 2.53552e-05 2.53552e-05 0 7.08606e-07
-62 -5 -3.04342 -0.245437 3.40513e-05 -3.40513e-05 0 7.27799e-07
-62 -4 -3.04342 -0.19635 5.44568e-05 5.44568e-05 0 7.43909e-07
-62 -3 -3.04342 -0.147262 0.000104353 -0.000104353 0 7.567e-07
