# columns are eigenvectors v_j; row i is component i
-0.872671 -0.436335   -0.194332 -0.0971661   0.0260935 0.0130468
0.216909 0   -0.937531 0   0.272004 0
-0.0317472 0   0.271715 0   0.961854 0
