# kx ky |F(k)| (fftshifted indices)
-63 13 5.96868e-06
-63 14 4.10214e-06
-63 15 4.60663e-06
-63 16 3.12699e-06
-63 17 3.67318e-06
-63 18 2.47921e-06
-63 19 3.00083e-06
-63 20 2.03208e-06
-63 21 2.49818e-06
-63 22 1.7133e-06
-63 23 2.11187e-06
-63 24 1.47931e-06
-63 25 1.80887e-06
-63 26 1.30279e-06
-63 27 1.56766e-06
-63 28 1.16612e-06
-63 29 1.37358e-06
-63 30 1.05765e-06
-63 31 1.21617e-06
-63 32 9.69628e-07
-63 33 1.08775e-06
-63 34 8.96788e-07
-63 35 9.82503e-07
-63 36 8.35546e-07
-63 37 8.95917e-07
-63 38 7.83427e-07
-63 39 8.24466e-07
-63 40 7.38702e-07
-63 41 7.65359e-07
-63 42 7.00141e-07
-63 43 7.1638e-07
-63 44 6.66848e-07
-63 45 6.75765e-07
-63 46 6.38155e-07
-63 47 6.42116e-07
-63 48 6.13548e-07
-63 49 6.14325e-07
-63 50 5.92627e-07
-63 51 5.9152e-07
-63 52 5.75069e-07
-63 53 5.73021e-07
-63 54 5.60615e-07
-63 55 5.58298e-07
-63 56 5.49058e-07
-63 57 5.46951e-07
-63 58 5.40233e-07
-63 59 5.38681e-07
-63 60 5.34017e-07
-63 61 5.33279e-07
-63 62 5.30322e-07
-63 63 5.30611e-07

-62 -64 5.31275e-07
-62 -63 5.30322e-07
-62 -62 5.32612e-07
-62 -61 5.32774e-07
-62 -60 5.36654e-07
-62 -59 5.37713e-07
-62 -58 5.43504e-07
-62 -57 5.45205e-07
-62 -56 5.53336e-07
-62 -55 5.5535e-07
-62 -54 5.66409e-07
-62 -53 5.68285e-07
-62 -52 5.83079e-07
-62 -51 5.84184e-07
-62 -50 6.03823e-07
-62 -49 6.03266e-07
-62 -48 6.2926e-07
-62 -47 6.25798e-07
-62 -46 6.60187e-07
-62 -45 6.52111e-07
-62 -44 6.97623e-07
-62 -43 6.8262e-07
-62 -42 7.42859e-07
-62 -41 7.17862e-07
-62 -40 7.97524e-07
-62 -39 7.58546e-07
-62 -38 8.63668e-07
-62 -37 8.05644e-07
-62 -36 9.43866e-07
-62 -35 8.60521e-07
-62 -34 1.04136e-06
-62 -33 9.25141e-07
-62 -32 1.16025e-06
-62 -31 1.00237e-06
-62 -30 1.30577e-06
-62 -29 1.09642e-06
-62 -28 1.48472e-06
-62 -27 1.21359e-06
-62 -26 1.70616e-06
-62 -25 1.36327e-06
-62 -24 1.98251e-06
-62 -23 1.55972e-06
-62 -22 2.33152e-06
-62 -21 1.82486e-06
-62 -20 2.7797e-06
-62 -19 2.19314e-06
-62 -18 3.36872e-06
-62 -17 2.72061e-06
-62 -16 4.16783e-06
-62 -15 3.50263e-06
-62 -14 5.29955e-06
-62 -13 4.71204e-06
-62 -12 6.99762e-06
-62 -11 6.68935e-06
-62 -10 9.75276e-06
-62 -9 1.01862e-05
-62 -8 1.47388e-05
-62 -7 1.71501e-05
-62 -6 2.53552e-05
-62 -5 3.40513e-05
-62 -4 5.44568e-05
-62 -3 0.000104353
-62 -2 2.0019e-05
-62 -1 0.00302264
-62 0 0.0111551
-62 1 0.00302264
-62 2 2.0019e-05
-62 3 0.000104353
-62 4 5.44568e-05
-62 5 3.40513e-05
-62 6 2.53552e-05
-62 7 1.71501e-05
-62 8 1.47388e-05
-62 9 1.01862e-05
-62 10 9.75276e-06
-62 11 6.68935e-06
-62 12 6.99762e-06
-62 13 4.71204e-06
-62 14 5.29955e-06
-62 15 3.50263e-06
-62 16 4.16783e-06
-62 17 2.72061e-06
-62 18 3.36872e-06
-62 19 2.19314e-06
-62 20 2.7797e-06
-62 21 1.82486e-06
-62 22 2.33152e-06
-62 23 1.55972e-06
-62 24 1.98251e-06
-62 25 1.36327e-06
-62 26 1.70616e-06
-62 27 1.21359e-06
-62 28 1.48472e-06
-62 29 1.09642e-06
-62 30 1.30577e-06
-62 31 1.00237e-06
-62 32 1.16025e-06
-62 33 9.25141e-07
-62 34 1.04136e-06
-62 35 8.60521e-07
-62 36 9.43866e-07
-62 37 8.05644e-07
-62 38 8.63668e-07
-62 39 7.58546e-07
-62 40 7.97524e-07
-62 41 7.17862e-07
